Date,Honeywell (HON) Price
1/15/2009,22.957
1/16/2009,23.1751
1/19/2009,23.1751
1/20/2009,22.1831
1/21/2009,22.7881
1/22/2009,22.4926
1/23/2009,22.6615
1/26/2009,23.3439
1/27/2009,23.8575
1/28/2009,24.4204
1/29/2009,22.9851
1/30/2009,23.0836
2/2/2009,22.3941
2/3/2009,22.2956
2/4/2009,22.76
2/5/2009,22.8796
2/6/2009,23.5269
2/9/2009,23.6043
2/10/2009,22.4926
2/11/2009,22.6474
2/12/2009,22.4223
2/13/2009,23.2595
2/16/2009,23.2595
2/17/2009,21.979
2/18/2009,21.3107
2/19/2009,21.2685
2/20/2009,20.2905
2/23/2009,19.5166
2/24/2009,20.2272
2/25/2009,19.8825
2/26/2009,19.39
2/27/2009,18.8764
3/2/2009,17.5607
3/3/2009,17.3778
3/4/2009,17.8421
3/5/2009,16.822
3/6/2009,16.6039
3/9/2009,16.3436
3/10/2009,17.8914
3/11/2009,18.7568
3/12/2009,19.2281
3/13/2009,18.9467
3/16/2009,19.0382
3/17/2009,19.39
3/18/2009,19.9458
3/19/2009,19.7206
3/20/2009,18.9608
3/23/2009,20.3609
3/24/2009,20.3609
3/25/2009,20.3679
3/26/2009,21.4021
3/27/2009,20.579
3/30/2009,19.5659
3/31/2009,19.601
4/1/2009,19.9176
4/2/2009,21.5077
4/3/2009,21.2474
4/6/2009,20.9589
4/7/2009,20.6071
4/8/2009,20.8393
4/9/2009,21.8383
4/10/2009,21.8383
4/13/2009,21.2966
4/14/2009,21.2544
4/15/2009,21.578
4/16/2009,22.1549
4/17/2009,22.1549
4/20/2009,20.9589
4/21/2009,21.5006
4/22/2009,22.2956
4/23/2009,22.7811
4/24/2009,22.1268
4/27/2009,21.3177
4/28/2009,20.7056
4/29/2009,21.7398
4/30/2009,21.9579
5/1/2009,22.2534
5/4/2009,22.176
5/5/2009,22.2886
5/6/2009,23.555
5/7/2009,23.2947
5/8/2009,24.4274
5/11/2009,23.6676
5/12/2009,23.2947
5/13/2009,22.0705
5/14/2009,22.4575
5/15/2009,22.4786
5/18/2009,23.4392
5/19/2009,23.5032
5/20/2009,23.4747
5/21/2009,22.6011
5/22/2009,22.8
5/25/2009,22.8
5/26/2009,23.1764
5/27/2009,22.7716
5/28/2009,22.871
5/29/2009,23.5529
6/1/2009,25.1084
6/2/2009,24.9947
6/3/2009,24.6254
6/4/2009,25.2007
6/5/2009,25.3712
6/8/2009,25.3357
6/9/2009,25.3712
6/10/2009,25.286
6/11/2009,25.4209
6/12/2009,25.151
6/15/2009,24.0927
6/16/2009,23.5529
6/17/2009,23.283
6/18/2009,23.425
6/19/2009,23.3043
6/22/2009,22.4306
6/23/2009,22.3241
6/24/2009,22.0471
6/25/2009,22.6224
6/26/2009,22.5656
6/29/2009,22.8568
6/30/2009,22.3028
7/1/2009,22.6295
7/2/2009,21.8766
7/3/2009,21.8766
7/6/2009,21.5357
7/7/2009,20.8183
7/8/2009,20.939
7/9/2009,21.074
7/10/2009,21.3297
7/13/2009,21.8837
7/14/2009,22.1465
7/15/2009,23.0202
7/16/2009,23.3185
7/17/2009,23.0344
7/20/2009,23.702
7/21/2009,23.7304
7/22/2009,23.7091
7/23/2009,24.3058
7/24/2009,24.1424
7/27/2009,24.32
7/28/2009,24.256
7/29/2009,24.1779
7/30/2009,24.5117
7/31/2009,24.6467
8/3/2009,25.0587
8/4/2009,25.3215
8/5/2009,25.0658
8/6/2009,25.1155
8/7/2009,25.84
8/10/2009,25.5417
8/11/2009,25.1581
8/12/2009,25.9181
8/13/2009,25.705
8/14/2009,25.4777
8/17/2009,24.803
8/18/2009,24.874
8/19/2009,24.8811
8/20/2009,25.1013
8/21/2009,25.7974
8/24/2009,26.4721
8/25/2009,26.6497
8/26/2009,26.3656
8/27/2009,26.5574
8/28/2009,26.4437
8/31/2009,26.1099
9/1/2009,25.5132
9/2/2009,25.4067
9/3/2009,25.7547
9/4/2009,26.3869
9/7/2009,26.3869
9/8/2009,26.8628
9/9/2009,27.3174
9/10/2009,27.9992
9/11/2009,27.6512
9/14/2009,28.3899
9/15/2009,28.262
9/16/2009,28.4609
9/17/2009,28.4822
9/18/2009,28.5319
